source	authors	title	year	language	keywords	affiliation	countries	publisher	database	citations
conference/workshop	Ozkan E., Ercan G.	Modernization of old turkish texts [Eski Türkçe Metinlerin Modernlestirilmesi]	2018		Machine Learning; Paraphrasing; Statistical Machine Translation; Text simplification; computational linguistics; Computer aided language translation; Learning systems; Machine translation systems; Paraphrasing; simplification; method; Statistical machine translation; Target audience; Text simplification; Turkish texts; Understandability; Signal processing	Bilgisayar Muhendisliǧi Bolumu, Hacettepe Universitesi, Ankara, Turkey	united kingdom	Institute of Electrical and Electronics Engineers Inc.	scopus.csv	-1
conference/workshop	Lis Pereira;Xiaodong Liu;John Lee	Lexical simplification; with the Deep Structured Similarity Model	2017				austria	Asian Federation of Natural Language Processing	acl.csv	0
conference/workshop	Aina Garí Soler;Marianna Apidianaki;Alexandre Allauzen	A comparative study of word embeddings and other features for lexical complexity detection in French	2018	French			austria,italy,united kingdom,austria,austria	ATALA	acl.csv	0
conference/workshop	Lionel Ramadier;Mathieu Lafourcade	Utilisation d’une base de connaissances de spécialité et de sens commun pour la simplification; de comptes-rendus radiologiques (Radiological text simplification; using a general knowledge base)	2018				belgium	ATALA	acl.csv	0
conference/workshop	Sofiane Elguendouze	simplification; de textes : un état de l’art (Text simplification; (State of the art) This paper presents the state of the art on text simplification;, in particular the two main types of approaches, namely rule-based approaches and statistical approaches (or data-driven))	2020				brazil	ATALA et AFCP	acl.csv	0
conference/workshop	Hoang Van;David Kauchak;Gondy Leroy	AutoMeTS: The Autocomplete for Medical Text simplification;	2020	English			brazil	International Committee on Computational Linguistics	acl.csv	0
conference/workshop	Taichi Kato;Rei Miyata;Satoshi Sato	BERT-Based simplification; of Japanese Sentence-Ending Predicates in Descriptive Text	2020	Japanese			brazil	Association for Computational Linguistics	acl.csv	0
conference/workshop	Rémi Cardon;Natalia Grabar	French Biomedical Text simplification;: When Small and Precise Helps	2020	French			brazil,brazil	International Committee on Computational Linguistics	acl.csv	0
conference/workshop	William Lane;Steven Bird	Interactive Word Completion for Morphologically Complex Languages	2020				brazil,brazil	International Committee on Computational Linguistics	acl.csv	0
conference/workshop	Reyhaneh Hashempour;Aline Villavicencio	Leveraging Contextual Embeddings and Idiom Principle for Detecting Idiomaticity in Potentially Idiomatic Expressions	2020				brazil,brazil	Association for Computational Linguistics	acl.csv	0
conference/workshop	Piotr Przybyła;Matthew Shardlow	Multi-Word Lexical simplification;	2020	English			brazil,brazil,brazil	International Committee on Computational Linguistics	acl.csv	0
conference/workshop	Renliang Sun;Zhe Lin;Xiaojun Wan	On the Helpfulness of Document Context to Sentence simplification;	2020				brazil,brazil,canada	International Committee on Computational Linguistics	acl.csv	0
conference/workshop	Xuan Zhang;Huizhou Zhao;KeXin Zhang;Yiyang Zhang	SEMA: Text simplification; Evaluation through Semantic Alignment	2020	English			brazil,brazil,united kingdom	Association for Computational Linguistics	acl.csv	0
conference/workshop	Akifumi Nakamachi;Tomoyuki Kajiwara;Yuki Arase	Text simplification; with Reinforcement Learning Using Supervised Rewards on Grammaticality, Meaning Preservation, and Simplicity	2020				brazil,united kingdom	Association for Computational Linguistics	acl.csv	0
